anatomical structure,methods,Dice
Right-choroid-plexus,SyN,0.425889
Right-choroid-plexus,SyN,0.39896
Right-choroid-plexus,SyN,0.424335
Right-choroid-plexus,SyN,0.451321
Right-choroid-plexus,SyN,0.384563
Right-choroid-plexus,SyN,0.468517
Right-choroid-plexus,SyN,0.407635
Right-choroid-plexus,SyN,0.464846
Right-choroid-plexus,SyN,0.258993
Right-choroid-plexus,SyN,0.397968
Right-choroid-plexus,SyN,0.456244
Right-choroid-plexus,SyN,0.493671
Right-choroid-plexus,SyN,0.322997
Right-choroid-plexus,SyN,0.316032
Right-choroid-plexus,SyN,0.447547
Right-choroid-plexus,SyN,0.368047
Right-choroid-plexus,SyN,0.530846
Right-choroid-plexus,SyN,0.434507
Right-choroid-plexus,SyN,0.321117
Right-choroid-plexus,SyN,0.379553
Right-choroid-plexus,SyN,0.430059
Right-choroid-plexus,SyN,0.470972
Right-choroid-plexus,SyN,0.308274
Right-choroid-plexus,SyN,0.407353
Right-choroid-plexus,SyN,0.359964
Right-choroid-plexus,SyN,0.442929
Right-choroid-plexus,SyN,0.372005
Right-choroid-plexus,SyN,0.314103
Right-choroid-plexus,SyN,0.477665
Right-choroid-plexus,SyN,0.479042
Right-choroid-plexus,SyN,0.32872
Right-choroid-plexus,SyN,0.31185
Right-choroid-plexus,SyN,0.159744
Right-choroid-plexus,SyN,0.433137
Right-choroid-plexus,SyN,0.402122
Right-choroid-plexus,SyN,0.324487
Right-choroid-plexus,SyN,0.394747
Right-choroid-plexus,SyN,0.45077
Right-choroid-plexus,SyN,0.348837
Right-choroid-plexus,SyN,0.368324
Right-choroid-plexus,SyN,0.444444
Right-choroid-plexus,SyN,0.249592
Right-choroid-plexus,SyN,0.492263
Right-choroid-plexus,SyN,0.365159
Right-choroid-plexus,SyN,0.316735
Right-choroid-plexus,SyN,0.487322
Right-choroid-plexus,SyN,0.452974
Right-choroid-plexus,SyN,0.161776
Right-choroid-plexus,SyN,0.439417
Right-choroid-plexus,SyN,0.167785
Right-choroid-plexus,SyN,0.40592
Right-choroid-plexus,SyN,0.290128
Right-choroid-plexus,SyN,0.294695
Right-choroid-plexus,SyN,0.188615
Right-choroid-plexus,SyN,0.318182
Right-choroid-plexus,SyN,0.454281
Right-choroid-plexus,SyN,0.50938
Right-choroid-plexus,SyN,0.164794
Right-choroid-plexus,SyN,0.484752
Right-choroid-plexus,SyN,0.223092
Right-choroid-plexus,SyN,0.171206
Right-choroid-plexus,SyN,0.206474
Right-choroid-plexus,SyN,0.365207
Right-choroid-plexus,SyN,0.232427
Right-choroid-plexus,SyN,0.344464
Right-choroid-plexus,SyN,0.407609
Right-choroid-plexus,SyN,0.448445
Right-choroid-plexus,SyN,0.302135
Right-choroid-plexus,SyN,0.378824
Right-choroid-plexus,SyN,0.324746
Right-choroid-plexus,SyN,0.49235
Right-choroid-plexus,SyN,0.24855
Right-choroid-plexus,SyN,0.285229
Right-choroid-plexus,SyN,0.343767
Right-choroid-plexus,SyN,0.368976
Right-choroid-plexus,SyN,0.393675
Right-choroid-plexus,SyN,0.352684
Right-choroid-plexus,SyN,0.409326
Right-choroid-plexus,SyN,0.31699
Right-choroid-plexus,SyN,0.265814
Right-choroid-plexus,SyN,0.388479
Right-choroid-plexus,SyN,0.401831
Right-choroid-plexus,SyN,0.413269
Right-choroid-plexus,SyN,0.313305
Right-choroid-plexus,SyN,0.345314
Right-choroid-plexus,SyN,0.38756
Right-choroid-plexus,SyN,0.431274
Right-choroid-plexus,SyN,0.324627
Right-choroid-plexus,SyN,0.421
Right-choroid-plexus,SyN,0.500865
Right-choroid-plexus,SyN,0.331745
Right-choroid-plexus,SyN,0.406528
Right-choroid-plexus,SyN,0.488334
Right-choroid-plexus,SyN,0.201835
Right-choroid-plexus,SyN,0.318741
